"year","category","actor","movie","winner","id"
1982.0,"actor in a leading role","Ben Kingsley","Gandhi",1.0,134
1982.0,"actor in a supporting role","Louis Gossett, Jr.","An Officer and a Gentleman",1.0,951
1982.0,"actress in a supporting role","Jessica Lange","Tootsie",1.0,727
1982.0,"actress in a leading role","Meryl Streep","Sophie's Choice",1.0,1053
1981.0,"actress in a leading role","Katharine Hepburn","On Golden Pond",1.0,865
1981.0,"actor in a supporting role","John Gielgud","Arthur",1.0,775
1981.0,"actress in a supporting role","Maureen Stapleton","Reds",1.0,1030
1981.0,"actor in a leading role","Henry Fonda","On Golden Pond",1.0,562
1980.0,"actress in a leading role","Sissy Spacek","Coal Miner's Daughter",1.0,1373
1980.0,"actor in a leading role","Robert De Niro","Raging Bull",1.0,1260
1980.0,"actor in a supporting role","Timothy Hutton","Ordinary People",1.0,1445
1980.0,"actress in a supporting role","Mary Steenburgen","Melvin and Howard",1.0,1020
1979.0,"actress in a leading role","Sally Field","Norma Rae",1.0,1323
1979.0,"actor in a supporting role","Melvyn Douglas","Being There",1.0,1046
1979.0,"actress in a supporting role","Meryl Streep","Kramer vs. Kramer",1.0,1051
1979.0,"actor in a leading role","Dustin Hoffman","Kramer vs. Kramer",1.0,347
1978.0,"actress in a supporting role","Maggie Smith","California Suite",1.0,966
1978.0,"actress in a leading role","Jane Fonda","Coming Home",1.0,675
1978.0,"actor in a leading role","Jon Voight","Coming Home",1.0,796
1978.0,"actor in a supporting role","Christopher Walken","The Deer Hunter",1.0,251
1977.0,"actress in a leading role","Diane Keaton","Annie Hall",1.0,320
1977.0,"actor in a leading role","Richard Dreyfuss","The Goodbye Girl",1.0,1243
1977.0,"actress in a supporting role","Vanessa Redgrave","Julia",1.0,1479
1977.0,"actor in a supporting role","Jason Robards","Julia",1.0,690
1976.0,"actress in a leading role","Faye Dunaway","Network",1.0,422
1976.0,"actress in a supporting role","Beatrice Straight","Network",1.0,132
1976.0,"actor in a supporting role","Jason Robards","All the President's Men",1.0,689
1976.0,"actor in a leading role","Peter Finch","Network",1.0,1191
1975.0,"actress in a supporting role","Lee Grant","Shampoo",1.0,914
1975.0,"actor","Jack Nicholson","One Flew over the Cuckoo's Nest",1.0,617
1975.0,"actor in a supporting role","George Burns","The Sunshine Boys",1.0,470
1975.0,"actress","Louise Fletcher","One Flew over the Cuckoo's Nest",1.0,952
1974.0,"actress","Ellen Burstyn","Alice Doesn't Live Here Anymore",1.0,386
1974.0,"actor in a supporting role","Robert De Niro","The Godfather Part II",1.0,1257
1974.0,"actor","Art Carney","Harry and Tonto",1.0,101
1974.0,"actress in a supporting role","Ingrid Bergman","Murder on the Orient Express",1.0,592
1973.0,"actress","Glenda Jackson","A Touch of Class",1.0,504
1973.0,"actor in a supporting role","John Houseman","The Paper Chase",1.0,777
1973.0,"actress in a supporting role","Tatum O'Neal","Paper Moon",1.0,1421
1973.0,"actor","Jack Lemmon","Save the Tiger",1.0,609
1972.0,"actress in a supporting role","Eileen Heckart","Butterflies Are Free",1.0,372
1972.0,"actor","Marlon Brando","The Godfather",1.0,1002
1972.0,"actor in a supporting role","Joel Grey","Cabaret",1.0,768
1972.0,"actress","Liza Minnelli","Cabaret",1.0,945
1971.0,"actor","Gene Hackman","The French Connection",1.0,458
1971.0,"actress","Jane Fonda","Klute",1.0,673
1971.0,"actress in a supporting role","Cloris Leachman","The Last Picture Show",1.0,270
1971.0,"actor in a supporting role","Ben Johnson","The Last Picture Show",1.0,133
1970.0,"actress in a supporting role","Helen Hayes","Airport",1.0,552
1970.0,"actor","George C. Scott","Patton",1.0,473
1970.0,"actor in a supporting role","John Mills","Ryan's Daughter",1.0,787
1970.0,"actress","Glenda Jackson","Women in Love",1.0,502
1969.0,"actor","John Wayne","True Grit",1.0,791
1969.0,"actress","Maggie Smith","The Prime of Miss Jean Brodie",1.0,964
1969.0,"actress in a supporting role","Goldie Hawn","Cactus Flower",1.0,517
1969.0,"actor in a supporting role","Gig Young","They Shoot Horses, Don't They?",1.0,496
1968.0,"actor in a supporting role","Jack Albertson","The Subject Was Roses",1.0,602
1968.0,"actress in a supporting role","Ruth Gordon","Rosemary's Baby",1.0,1317
1968.0,"actress","Barbra Streisand","Funny Girl",1.0,125
1968.0,"actress","Katharine Hepburn","The Lion in Winter",1.0,864
1968.0,"actor","Cliff Robertson","Charly",1.0,263
1967.0,"actress in a supporting role","Estelle Parsons","Bonnie and Clyde",1.0,405
1967.0,"actress","Katharine Hepburn","Guess Who's Coming to Dinner",1.0,863
1967.0,"actor","Rod Steiger","In the Heat of the Night",1.0,1295
1967.0,"actor in a supporting role","George Kennedy","Cool Hand Luke",1.0,480
1966.0,"actress in a supporting role","Sandy Dennis","Who's Afraid of Virginia Woolf?",1.0,1337
1966.0,"actor in a supporting role","Walter Matthau","The Fortune Cookie",1.0,1503
1966.0,"actor","Paul Scofield","A Man for All Seasons",1.0,1174
1966.0,"actress","Elizabeth Taylor","Who's Afraid of Virginia Woolf?",1.0,383
1965.0,"actress in a supporting role","Shelley Winters","A Patch of Blue",1.0,1352
1965.0,"actress","Julie Christie","Darling",1.0,834
1965.0,"actor","Lee Marvin","Cat Ballou",1.0,918
1965.0,"actor in a supporting role","Martin Balsam","A Thousand Clowns",1.0,1011
1964.0,"actor","Rex Harrison","My Fair Lady",1.0,1234
1964.0,"actor in a supporting role","Peter Ustinov","Topkapi",1.0,1206
1964.0,"actress","Julie Andrews","Mary Poppins",1.0,831
1964.0,"actress in a supporting role","Lila Kedrova","Zorba the Greek",1.0,935
1963.0,"actor","Sidney Poitier","Lilies of the Field",1.0,1365
1963.0,"actress","Patricia Neal","Hud",1.0,1156
1963.0,"actor in a supporting role","Melvyn Douglas","Hud",1.0,1044
1963.0,"actress in a supporting role","Margaret Rutherford","The V.I.P.s",1.0,978
1962.0,"actor in a supporting role","Ed Begley","Sweet Bird of Youth",1.0,353
1962.0,"actor","Gregory Peck","To Kill a Mockingbird",1.0,535
1962.0,"actress","Anne Bancroft","The Miracle Worker",1.0,70
1962.0,"actress in a supporting role","Patty Duke","The Miracle Worker",1.0,1158
1961.0,"actor in a supporting role","George Chakiris","West Side Story",1.0,475
1961.0,"actress in a supporting role","Rita Moreno","West Side Story",1.0,1255
1961.0,"actress","Sophia Loren","Two Women",1.0,1379
1961.0,"actor","Maximilian Schell","Judgment at Nuremberg",1.0,1033
1960.0,"actress in a supporting role","Shirley Jones","Elmer Gantry",1.0,1355
1960.0,"actress","Elizabeth Taylor","Butterfield 8",1.0,382
1960.0,"actor","Burt Lancaster","Elmer Gantry",1.0,184
1960.0,"actor in a supporting role","Peter Ustinov","Spartacus",1.0,1205
1959.0,"actor","Charlton Heston","Ben-Hur",1.0,236
1959.0,"actor in a supporting role","Hugh Griffith","Ben-Hur",1.0,574
1959.0,"actress in a supporting role","Shelley Winters","The Diary of Anne Frank",1.0,1351
1959.0,"actress","Simone Signoret","Room at the Top",1.0,1369
1958.0,"actress in a supporting role","Wendy Hiller","Separate Tables",1.0,1513
1958.0,"actor","David Niven","Separate Tables",1.0,291
1958.0,"actor in a supporting role","Burl Ives","The Big Country",1.0,182
1958.0,"actress","Susan Hayward","I Want to Live!",1.0,1403
1957.0,"actor","Alec Guinness","The Bridge on the River Kwai",1.0,34
1957.0,"actress in a supporting role","Miyoshi Umeki","Sayonara",1.0,1104
1957.0,"actor in a supporting role","Red Buttons","Sayonara",1.0,1228
1957.0,"actress","Joanne Woodward","The Three Faces of Eve",1.0,753
1956.0,"actress in a supporting role","Dorothy Malone","Written on the Wind",1.0,341
1956.0,"actor","Yul Brynner","The King and I",1.0,1540
1956.0,"actress","Ingrid Bergman","Anastasia",1.0,591
1956.0,"actor in a supporting role","Anthony Quinn","Lust for Life",1.0,97
1955.0,"actor","Ernest Borgnine","Marty",1.0,404
1955.0,"actor in a supporting role","Jack Lemmon","Mister Roberts",1.0,605
1955.0,"actress in a supporting role","Jo Van Fleet","East of Eden",1.0,737
1955.0,"actress","Anna Magnani","The Rose Tattoo",1.0,66
1954.0,"actor","Marlon Brando","On the Waterfront",1.0,1000
1954.0,"actress in a supporting role","Eva Marie Saint","On the Waterfront",1.0,414
1954.0,"actor in a supporting role","Edmond O'Brien","The Barefoot Contessa",1.0,362
1954.0,"actress","Grace Kelly","The Country Girl",1.0,520
1953.0,"actor","William Holden","Stalag 17",1.0,1527
1953.0,"actor in a supporting role","Frank Sinatra","From Here to Eternity",1.0,434
1953.0,"actress in a supporting role","Donna Reed","From Here to Eternity",1.0,338
1953.0,"actress","Audrey Hepburn","Roman Holiday",1.0,110
1952.0,"actress","Shirley Booth","Come Back, Little Sheba",1.0,1354
1952.0,"actress in a supporting role","Gloria Grahame","The Bad and the Beautiful",1.0,513
1952.0,"actor in a supporting role","Anthony Quinn","Viva Zapata!",1.0,96
1952.0,"actor","Gary Cooper","High Noon",1.0,449
1951.0,"actress in a supporting role","Kim Hunter","A Streetcar Named Desire",1.0,886
1951.0,"actress","Vivien Leigh","A Streetcar Named Desire",1.0,1493
1951.0,"actor","Humphrey Bogart","The African Queen",1.0,579
1951.0,"actor in a supporting role","Karl Malden","A Streetcar Named Desire",1.0,846
1950.0,"actress","Judy Holliday","Born Yesterday",1.0,823
1950.0,"actress in a supporting role","Josephine Hull","Harvey",1.0,804
1950.0,"actor","Jos� Ferrer","Cyrano de Bergerac",1.0,801
1950.0,"actor in a supporting role","George Sanders","All about Eve",1.0,481
1949.0,"actress in a supporting role","Mercedes McCambridge","All the King's Men",1.0,1047
1949.0,"actress","Olivia de Havilland","The Heiress",1.0,1147
1949.0,"actor","Broderick Crawford","All the King's Men",1.0,177
1949.0,"actor in a supporting role","Dean Jagger","Twelve O'Clock High",1.0,294
1948.0,"actor","Laurence Olivier","Hamlet",1.0,906
1948.0,"actress in a supporting role","Claire Trevor","Key Largo",1.0,255
1948.0,"actress","Jane Wyman","Johnny Belinda",1.0,680
1948.0,"actor in a supporting role","Walter Huston","The Treasure of the Sierra Madre",1.0,1502
1947.0,"actress","Loretta Young","The Farmer's Daughter",1.0,946
1947.0,"actress in a supporting role","Celeste Holm","Gentleman's Agreement",1.0,216
1947.0,"actor in a supporting role","Edmund Gwenn","Miracle on 34th Street",1.0,364
1947.0,"actor","Ronald Colman","A Double Life",1.0,1299
1946.0,"actress","Olivia de Havilland","To Each His Own",1.0,1145
1946.0,"actress in a supporting role","Anne Baxter","The Razor's Edge",1.0,75
1946.0,"actor","Fredric March","The Best Years of Our Lives",1.0,439
1946.0,"actor in a supporting role","Harold Russell","The Best Years of Our Lives",1.0,545
1945.0,"actor in a supporting role","James Dunn","A Tree Grows in Brooklyn",1.0,646
